Date,Enclosure,Exclosure,Plot,grazed,Gomphocerippus rufus,Mecostethus grossus,Metrioptera roeselii,Decticus verrucivorus,Chorthippus biguttulus,Metrioptera brachyptera,,,,,,,,
04. Sep,3,3,1,Latrine,,,,,,,,,,,,,,
04. Sep,3,3,2,Latrine,,,,,,,,,,,,,,
04. Sep,3,3,3,Latrine,,,,1,,,,,,,,,,
04. Sep,3,3,4,Latrine,,,,,,,,,,,,,,
07. Sep,1,1,1,Yes,,,,,,,,,,,,,,
07. Sep,1,1,2,Yes,,,,,,,,,,,,,,
07. Sep,1,1,3,Yes,,,,,,,,,,,,,,
07. Sep,1,1,4,Yes,,,,,,,,,,,,,,
07. Sep,1,1,1,No,,,,,,,,,,,,,,
07. Sep,1,1,2,No,,,,,,,,,,,,,,
07. Sep,1,1,3,No,,,,,,,,,,,,,,
07. Sep,1,1,4,No,,,,,,,,,,,,,,
07. Sep,1,1,1,Latrine,,,,,,,,,,,,,,
07. Sep,1,1,2,Latrine,,,,,,,,,,,,,,
07. Sep,1,1,3,Latrine,,,,,,,,,,,,,,
07. Sep,1,1,4,Latrine,,,,,,,,,,,,,,
07. Sep,1,2,1,Yes,,,,,,,,,,,,,,
07. Sep,1,2,2,Yes,,,,,,,,,,,,,,
07. Sep,1,2,3,Yes,,,,,,,,,,,,,,
07. Sep,1,2,4,Yes,,,,,,,,,,,,,,
07. Sep,1,2,1,No,,,,,,,,,,,,,,
07. Sep,1,2,2,No,,,,,,,,,,,,,,
07. Sep,1,2,3,No,,,,,,,,,,,,,,
07. Sep,1,2,4,No,,,,,,,,,,,,,,
07. Sep,1,2,1,Latrine,,,,,,,,,,,,,,
07. Sep,1,2,2,Latrine,,,,,,,,,,,,,,
07. Sep,1,2,3,Latrine,,,,,,,,,,,,,,
07. Sep,1,2,4,Latrine,,,,,,,,,,,,,,
07. Sep,1,3,1,Yes,,,,,,,,,,,,,,
07. Sep,1,3,2,Yes,,,,,,,,,,,,,,
07. Sep,1,3,3,Yes,,,,,,,,,,,,,,
07. Sep,1,3,4,Yes,,,,,,,,,,,,,,
07. Sep,1,3,1,No,,,,,,,,,,,,,,
07. Sep,1,3,2,No,,,,,,,,,,,,,,
07. Sep,1,3,3,No,,,,,,,,,,,,,,
07. Sep,1,3,4,No,,,,,,,,,,,,,,
07. Sep,1,3,1,Latrine,,,,,,,,,,,,,,
07. Sep,1,3,2,Latrine,,,,,,,,,,,,,,
07. Sep,1,3,3,Latrine,,,,,,,,,,,,,,
07. Sep,1,3,4,Latrine,,,,,,,,,,,,,,
07. Sep,2,1,1,Yes,,,,,,,,,,,,,,
07. Sep,2,1,2,Yes,,,,,,,,,,,,,,
07. Sep,2,1,3,Yes,,,,,,,,,,,,,,
07. Sep,2,1,4,Yes,,,,,,,,,,,,,,
07. Sep,2,1,1,No,,,,,,,,,,,,,,
07. Sep,2,1,2,No,,,,,,,,,,,,,,
07. Sep,2,1,3,No,,,,,,,,,,,,,,
07. Sep,2,1,4,No,,,,,,,,,,,,,,
07. Sep,2,1,1,Latrine,,,,,,,,,,,,,,
07. Sep,2,1,2,Latrine,,,,,,,,,,,,,,
07. Sep,2,1,3,Latrine,,,,,,,,,,,,,,
07. Sep,2,1,4,Latrine,,,,,,,,,,,,,,
07. Sep,2,2,1,Yes,,,,,,,,,,,,,,
07. Sep,2,2,2,Yes,,,,,,,,,,,,,,
07. Sep,2,2,3,Yes,,,,,,,,,,,,,,
07. Sep,2,2,4,Yes,,,,,,,,,,,,,,
07. Sep,2,2,1,No,,,,,,,,,,,,,,
07. Sep,2,2,2,No,,,,,,,,,,,,,,
07. Sep,2,2,3,No,,,,,,,,,,,,,,
07. Sep,2,2,4,No,,,,,,,,,,,,,,
07. Sep,2,2,1,Latrine,,,,,,,,,,,,,,
07. Sep,2,2,2,Latrine,,,,,,,,,,,,,,
07. Sep,2,2,3,Latrine,,,,,,,,,,,,,,
07. Sep,2,2,4,Latrine,,,,,,,,,,,,,,
07. Sep,2,3,1,Yes,,,,,,,,,,,,,,
07. Sep,2,3,2,Yes,,,,,,,,,,,,,,
07. Sep,2,3,3,Yes,,,,,,,,,,,,,,
07. Sep,2,3,4,Yes,,,,,,,,,,,,,,
07. Sep,2,3,1,No,,,,,,,,,,,,,,
07. Sep,2,3,2,No,,,,,,,,,,,,,,
07. Sep,2,3,3,No,,,,,,,,,,,,,,
07. Sep,2,3,4,No,,,,,,,,,,,,,,
07. Sep,2,3,1,Latrine,,,,,,,,,,,,,,
07. Sep,2,3,2,Latrine,,,,,,,,,,,,,,
07. Sep,2,3,3,Latrine,,,,,,,,,,,,,,
07. Sep,2,3,4,Latrine,,,,,,,,,,,,,,
07. Sep,3,1,1,Yes,,,,,,,,,,,,,,
07. Sep,3,1,2,Yes,,,,,,,,,,,,,,
07. Sep,3,1,3,Yes,,,,,,,,,,,,,,
07. Sep,3,1,4,Yes,,,,,,,,,,,,,,
07. Sep,3,1,1,No,1,,,,,,,,,,,,,
07. Sep,3,1,2,No,1,,,,,,,,,,,,,
07. Sep,3,1,3,No,,,,,,,,,,,,,,
07. Sep,3,1,4,No,,,,,,,,,,,,,,
07. Sep,3,1,1,Latrine,,,,,,,,,,,,,,
07. Sep,3,1,2,Latrine,,,,,,,,,,,,,,
07. Sep,3,1,3,Latrine,,,,,,,,,,,,,,
07. Sep,3,1,4,Latrine,,,,,,,,,,,,,,
07. Sep,3,2,1,Yes,,,,,,,,,,,,,,
07. Sep,3,2,2,Yes,,,,,,,,,,,,,,
07. Sep,3,2,3,Yes,,,,,,,,,,,,,,
07. Sep,3,2,4,Yes,,,,,,,,,,,,,,
07. Sep,3,2,1,No,,,,,,,,,,,,,,
07. Sep,3,2,2,No,,,,,,,,,,,,,,
07. Sep,3,2,3,No,,,,,,,,,,,,,,
07. Sep,3,2,4,No,,,,,,,,,,,,,,
07. Sep,3,2,1,Latrine,,,,,,,,,,,,,,
07. Sep,3,2,2,Latrine,,,,,,,,,,,,,,
07. Sep,3,2,3,Latrine,,,,,,,,,,,,,,
07. Sep,3,2,4,Latrine,,,,,,,,,,,,,,
07. Sep,3,3,1,Yes,,,,,,,,,,,,,,
07. Sep,3,3,2,Yes,,,,,,,,,,,,,,
07. Sep,3,3,3,Yes,3,,,,,,,,,,,,,
07. Sep,3,3,4,Yes,1,,,,,,,,,,,,,
07. Sep,3,3,1,No,,,,,,,,,,,,,,
07. Sep,3,3,2,No,,,,,,,,,,,,,,
07. Sep,3,3,3,No,,,,,,,,,,,,,,
07. Sep,3,3,4,No,,,,,,,,,,,,,,
07. Sep,3,3,1,Latrine,,,,,,,,,,,,,,
07. Sep,3,3,2,Latrine,,2,,,,,,,,,,,,
07. Sep,3,3,3,Latrine,,,,,,,,,,,,,,
07. Sep,3,3,4,Latrine,1,,,,,,,,,,,,,
17. Sep,1,1,1,Yes,,,,,,,,,,,,,,
17. Sep,1,1,2,Yes,,,,,,,,,,,,,,
17. Sep,1,1,3,Yes,,,,,,,,,,,,,,
17. Sep,1,1,4,Yes,,,,,,,,,,,,,,
17. Sep,1,1,1,No,,,,,,,,,,,,,,
17. Sep,1,1,2,No,,,,,,,,,,,,,,
17. Sep,1,1,3,No,,,,,,,,,,,,,,
17. Sep,1,1,4,No,,,,,,,,,,,,,,
17. Sep,1,1,1,Latrine,,,,,,,,,,,,,,
17. Sep,1,1,2,Latrine,,,,,,,,,,,,,,
17. Sep,1,1,3,Latrine,,,,,,,,,,,,,,
17. Sep,1,1,4,Latrine,,,,,,,,,,,,,,
17. Sep,1,2,1,Yes,,,,,,,,,,,,,,
17. Sep,1,2,2,Yes,,,,,,,,,,,,,,
17. Sep,1,2,3,Yes,,,,,,,,,,,,,,
17. Sep,1,2,4,Yes,,,,,,,,,,,,,,
17. Sep,1,2,1,No,,,,,,,,,,,,,,
17. Sep,1,2,2,No,,,,,,,,,,,,,,
17. Sep,1,2,3,No,,,,,,,,,,,,,,
17. Sep,1,2,4,No,,,,,,,,,,,,,,
17. Sep,1,2,1,Latrine,,,,,,,,,,,,,,
17. Sep,1,2,2,Latrine,,,,,,,,,,,,,,
17. Sep,1,2,3,Latrine,,,,,,,,,,,,,,
17. Sep,1,2,4,Latrine,,,,,,,,,,,,,,
17. Sep,1,3,1,Yes,,,,,,,,,,,,,,
17. Sep,1,3,2,Yes,,,,,,,,,,,,,,
17. Sep,1,3,3,Yes,,,,,,,,,,,,,,
17. Sep,1,3,4,Yes,,,,,,,,,,,,,,
17. Sep,1,3,1,No,,,,,,,,,,,,,,
17. Sep,1,3,2,No,,,,,,,,,,,,,,
17. Sep,1,3,3,No,,,,,,,,,,,,,,
17. Sep,1,3,4,No,,,,,,,,,,,,,,
17. Sep,1,3,1,Latrine,,,,,,,,,,,,,,
17. Sep,1,3,2,Latrine,,,,,,,,,,,,,,
17. Sep,1,3,3,Latrine,,,,,,,,,,,,,,
17. Sep,1,3,4,Latrine,,,,,,,,,,,,,,
17. Sep,2,1,1,Yes,,,,,,,,,,,,,,
17. Sep,2,1,2,Yes,,,,,,,,,,,,,,
17. Sep,2,1,3,Yes,,,,,,,,,,,,,,
17. Sep,2,1,4,Yes,,,,,,,,,,,,,,
17. Sep,2,1,1,No,,,,,,,,,,,,,,
17. Sep,2,1,2,No,,,,,,,,,,,,,,
17. Sep,2,1,3,No,,1,,,,,,,,,,,,
17. Sep,2,1,4,No,,,,,,,,,,,,,,
17. Sep,2,1,1,Latrine,,,,,,,,,,,,,,
17. Sep,2,1,2,Latrine,,,,,,,,,,,,,,
17. Sep,2,1,3,Latrine,,,,,,,,,,,,,,
17. Sep,2,1,4,Latrine,,,,,,,,,,,,,,
17. Sep,2,2,1,Yes,,,,,,,,,,,,,,
17. Sep,2,2,2,Yes,,,,,,,,,,,,,,
17. Sep,2,2,3,Yes,,,,,,,,,,,,,,
17. Sep,2,2,4,Yes,,,,,,,,,,,,,,
17. Sep,2,2,1,No,,,,,,,,,,,,,,
17. Sep,2,2,2,No,,,,,,,,,,,,,,
17. Sep,2,2,3,No,,,,,,,,,,,,,,
17. Sep,2,2,4,No,,,,,,,,,,,,,,
17. Sep,2,2,1,Latrine,,,,,,,,,,,,,,
17. Sep,2,2,2,Latrine,,,,,,,,,,,,,,
17. Sep,2,2,3,Latrine,,,,,,,,,,,,,,
17. Sep,2,2,4,Latrine,,,,,,,,,,,,,,
17. Sep,2,3,1,Yes,,,,,,,,,,,,,,
17. Sep,2,3,2,Yes,,,,,,,,,,,,,,
17. Sep,2,3,3,Yes,,,,,,,,,,,,,,
17. Sep,2,3,4,Yes,,,,,,,,,,,,,,
17. Sep,2,3,1,No,,,,,,,,,,,,,,
17. Sep,2,3,2,No,,,,,,,,,,,,,,
17. Sep,2,3,3,No,,,,,,,,,,,,,,
17. Sep,2,3,4,No,,,,,,,,,,,,,,
17. Sep,2,3,1,Latrine,,,,,,,,,,,,,,
17. Sep,2,3,2,Latrine,,,,,,,,,,,,,,
17. Sep,2,3,3,Latrine,,,,,,,,,,,,,,
17. Sep,2,3,4,Latrine,,,,,,,,,,,,,,
17. Sep,3,1,1,Yes,,,,,,,,,,,,,,
17. Sep,3,1,2,Yes,,,,,,,,,,,,,,
17. Sep,3,1,3,Yes,,,,,,,,,,,,,,
17. Sep,3,1,4,Yes,1,,,,,,,,,,,,,
17. Sep,3,1,1,No,,,,,,,,,,,,,,
17. Sep,3,1,2,No,,,,,,,,,,,,,,
17. Sep,3,1,3,No,,,,,,,,,,,,,,
17. Sep,3,1,4,No,,,,,,,,,,,,,,
17. Sep,3,1,1,Latrine,,,,,,,,,,,,,,
17. Sep,3,1,2,Latrine,,,,,,,,,,,,,,
17. Sep,3,1,3,Latrine,,,,,,,,,,,,,,
17. Sep,3,1,4,Latrine,,,,,,,,,,,,,,
17. Sep,3,2,1,Yes,,,,,,,,,,,,,,
17. Sep,3,2,2,Yes,,,,,,,,,,,,,,
17. Sep,3,2,3,Yes,,,,,,,,,,,,,,
17. Sep,3,2,4,Yes,,,,,,,,,,,,,,
17. Sep,3,2,1,No,,,,,,,,,,,,,,
17. Sep,3,2,2,No,,,,,,,,,,,,,,
17. Sep,3,2,3,No,,,,,,,,,,,,,,
17. Sep,3,2,4,No,,,,,,,,,,,,,,
17. Sep,3,2,1,Latrine,,,,,,,,,,,,,,
17. Sep,3,2,2,Latrine,,,,,,,,,,,,,,
17. Sep,3,2,3,Latrine,,,,,,,,,,,,,,
17. Sep,3,2,4,Latrine,,,,,,,,,,,,,,
17. Sep,3,3,1,Yes,,,,,,,,,,,,,,
17. Sep,3,3,2,Yes,,,,,,,,,,,,,,
17. Sep,3,3,3,Yes,,,,,,,,,,,,,,
17. Sep,3,3,4,Yes,,,,,,,,,,,,,,
17. Sep,3,3,1,No,,,,,,,,,,,,,,
17. Sep,3,3,2,No,,,,,,,,,,,,,,
17. Sep,3,3,3,No,,,,,,1,,,,,,,,
17. Sep,3,3,4,No,,,,,,,,,,,,,,
17. Sep,3,3,1,Latrine,,,,,,,,,,,,,,
17. Sep,3,3,2,Latrine,,,,,,,,,,,,,,
17. Sep,3,3,3,Latrine,,,,,,,,,,,,,,
17. Sep,3,3,4,Latrine,,,,,,,,,,,,,,
17. Sep,1,1,1,Yes,,,,,,,,,,,,,,
17. Sep,1,1,2,Yes,,,,,,,,,,,,,,
17. Sep,1,1,3,Yes,,,,,,,,,,,,,,
17. Sep,1,1,4,Yes,,,,,,,,,,,,,,
17. Sep,1,1,1,No,,,,,,,,,,,,,,
17. Sep,1,1,2,No,,,,,,,,,,,,,,
17. Sep,1,1,3,No,,,,,,,,,,,,,,
17. Sep,1,1,4,No,,,,,,,,,,,,,,
17. Sep,1,1,1,Latrine,,,,,,,,,,,,,,
17. Sep,1,1,2,Latrine,,,,,,,,,,,,,,
17. Sep,1,1,3,Latrine,,,,,,,,,,,,,,
17. Sep,1,1,4,Latrine,,,,,,,,,,,,,,
17. Sep,1,2,1,Yes,,,,,,,,,,,,,,
17. Sep,1,2,2,Yes,,,,,,,,,,,,,,
17. Sep,1,2,3,Yes,,,,,,,,,,,,,,
17. Sep,1,2,4,Yes,,,,,,,,,,,,,,
17. Sep,1,2,1,No,,,,,,,,,,,,,,
17. Sep,1,2,2,No,,,,,,,,,,,,,,
17. Sep,1,2,3,No,,,,,,,,,,,,,,
17. Sep,1,2,4,No,,,,,,,,,,,,,,
17. Sep,1,2,1,Latrine,,,,,,,,,,,,,,
17. Sep,1,2,2,Latrine,,,,,,,,,,,,,,
17. Sep,1,2,3,Latrine,,,,,,,,,,,,,,
17. Sep,1,2,4,Latrine,,,,,,,,,,,,,,
17. Sep,1,3,1,Yes,,,,,,,,,,,,,,
17. Sep,1,3,2,Yes,,,,,,,,,,,,,,
17. Sep,1,3,3,Yes,,,,,,,,,,,,,,
17. Sep,1,3,4,Yes,,,,,,,,,,,,,,
17. Sep,1,3,1,No,,,,,,,,,,,,,,
17. Sep,1,3,2,No,,,,,,,,,,,,,,
17. Sep,1,3,3,No,,,,,,,,,,,,,,
17. Sep,1,3,4,No,,,,,,,,,,,,,,
17. Sep,1,3,1,Latrine,,,,,,,,,,,,,,
17. Sep,1,3,2,Latrine,,,,,,,,,,,,,,
17. Sep,1,3,3,Latrine,,,,,,,,,,,,,,
17. Sep,1,3,4,Latrine,,,,,,,,,,,,,,
